"TIME","GEO","INDIC_TO","UNIT","NACE_R2","Value"
"2008","Czech Republic","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","1,931,793"
"2008","Czech Republic","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","19,987,022"
"2008","Czech Republic","Total nights spent by non-residents","Number","Hotels and similar accommodation","17,740,781"
"2008","Czech Republic","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,246,241"
"2008","Czech Republic","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","1,760,160"
"2008","Czech Republic","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","486,081"
"2008","Czech Republic","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","39,283,474"
"2008","Czech Republic","Nights spent, total","Number","Hotels and similar accommodation","27,426,840"
"2008","Czech Republic","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","11,856,634"
"2008","Czech Republic","Nights spent, total","Number","Holiday and other short-stay accommodation","9,438,760"
"2008","Czech Republic","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","2,417,874"
"2008","Denmark","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","19,108,832"
"2008","Denmark","Total nights spent by residents","Number","Hotels and similar accommodation","6,279,177"
"2008","Denmark","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","12,829,655"
"2008","Denmark","Total nights spent by residents","Number","Holiday and other short-stay accommodation","3,523,717"
"2008","Denmark","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","9,305,938"
"2008","Denmark","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","8,918,197"
"2008","Denmark","Total nights spent by non-residents","Number","Hotels and similar accommodation","4,551,784"
"2008","Denmark","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4,366,413"
"2008","Denmark","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","1,503,442"
"2008","Denmark","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","2,862,971"
"2008","Denmark","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","28,027,029"
"2008","Denmark","Nights spent, total","Number","Hotels and similar accommodation","10,830,961"
"2008","Denmark","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","17,196,068"
"2008","Denmark","Nights spent, total","Number","Holiday and other short-stay accommodation","5,027,159"
"2008","Denmark","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","12,168,909"
"2008","Germany (until 1990 former territory of the FRG)","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","267,636,330"
"2008","Germany (until 1990 former territory of the FRG)","Total nights spent by residents","Number","Hotels and similar accommodation","173,027,793"
"2008","Germany (until 1990 former territory of the FRG)","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","94,608,537"
"2008","Germany (until 1990 former territory of the FRG)","Total nights spent by residents","Number","Holiday and other short-stay accommodation","75,112,731"
"2008","Germany (until 1990 former territory of the FRG)","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","19,495,806"
"2008","Germany (until 1990 former territory of the FRG)","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","56,239,679"
"2008","Germany (until 1990 former territory of the FRG)","Total nights spent by non-residents","Number","Hotels and similar accommodation","45,218,023"
"2008","Germany (until 1990 former territory of the FRG)","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","11,021,656"
"2008","Germany (until 1990 former territory of the FRG)","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","7,509,944"
"2008","Germany (until 1990 former territory of the FRG)","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","3,511,712"
"2008","Germany (until 1990 former territory of the FRG)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","323,876,009"
"2008","Germany (until 1990 former territory of the FRG)","Nights spent, total","Number","Hotels and similar accommodation","218,245,816"
"2008","Germany (until 1990 former territory of the FRG)","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","105,630,193"
"2008","Germany (until 1990 former territory of the FRG)","Nights spent, total","Number","Holiday and other short-stay accommodation","82,622,675"
"2008","Germany (until 1990 former territory of the FRG)","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","23,007,518"
"2008","Estonia","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,669,550"
"2008","Estonia","Total nights spent by residents","Number","Hotels and similar accommodation","1,119,875"
"2008","Estonia","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","549,675"
"2008","Estonia","Total nights spent by residents","Number","Holiday and other short-stay accommodation","381,667"
"2008","Estonia","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","168,008"
"2008","Estonia","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,932,662"
"2008","Estonia","Total nights spent by non-residents","Number","Hotels and similar accommodation","2,727,007"
"2008","Estonia","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","205,655"
"2008","Estonia","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","184,530"
"2008","Estonia","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","21,125"
"2008","Estonia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4,602,212"
"2008","Estonia","Nights spent, total","Number","Hotels and similar accommodation","3,846,882"
"2008","Estonia","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","755,330"
"2008","Estonia","Nights spent, total","Number","Holiday and other short-stay accommodation","566,197"
"2008","Estonia","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","189,133"
"2008","Ireland","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","13,338,000"
"2008","Ireland","Total nights spent by residents","Number","Hotels and similar accommodation","8,794,000"
"2008","Ireland","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4,544,000"
"2008","Ireland","Total nights spent by residents","Number","Holiday and other short-stay accommodation","2,614,000"
"2008","Ireland","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","1,930,000"
"2008","Ireland","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":"
"2008","Ireland","Total nights spent by non-residents","Number","Hotels and similar accommodation",":"
"2008","Ireland","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":"
"2008","Ireland","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation",":"
"2008","Ireland","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks",":"
"2008","Ireland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":"
"2008","Ireland","Nights spent, total","Number","Hotels and similar accommodation",":"
"2008","Ireland","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":"
"2008","Ireland","Nights spent, total","Number","Holiday and other short-stay accommodation",":"
"2008","Ireland","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks",":"
"2008","Greece","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","17,650,614"
"2008","Greece","Total nights spent by residents","Number","Hotels and similar accommodation","16,840,111"
"2008","Greece","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","810,503"
"2008","Greece","Total nights spent by residents","Number","Holiday and other short-stay accommodation",":"
"2008","Greece","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","810,503"
"2008","Greece","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","47,973,949"
"2008","Greece","Total nights spent by non-residents","Number","Hotels and similar accommodation","47,233,616"
"2008","Greece","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","740,333"
"2008","Greece","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation",":"
"2008","Greece","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","740,333"
"2008","Greece","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","65,624,563"
"2008","Greece","Nights spent, total","Number","Hotels and similar accommodation","64,073,727"
"2008","Greece","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,550,836"
"2008","Greece","Nights spent, total","Number","Holiday and other short-stay accommodation",":"
"2008","Greece","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","1,550,836"
"2008","Spain","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","151,937,093"
"2008","Spain","Total nights spent by residents","Number","Hotels and similar accommodation","113,082,718"
"2008","Spain","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","38,854,375"
"2008","Spain","Total nights spent by residents","Number","Holiday and other short-stay accommodation","22,324,380"
"2008","Spain","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","16,529,995"
"2008","Spain","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","223,756,216"
"2008","Spain","Total nights spent by non-residents","Number","Hotels and similar accommodation","155,347,192"
"2008","Spain","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","68,409,024"
"2008","Spain","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","53,868,570"
"2008","Spain","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","14,540,454"
"2008","Spain","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","375,693,309"
"2008","Spain","Nights spent, total","Number","Hotels and similar accommodation","268,429,910"
"2008","Spain","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","107,263,399"
"2008","Spain","Nights spent, total","Number","Holiday and other short-stay accommodation","76,192,950"
"2008","Spain","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","31,070,449"
"2008","France","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","194,048,978"
"2008","France","Total nights spent by residents","Number","Hotels and similar accommodation","130,555,267"
"2008","France","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","63,493,711"
"2008","France","Total nights spent by residents","Number","Holiday and other short-stay accommodation",":"
"2008","France","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","63,493,711"
"2008","France","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","106,993,811"
"2008","France","Total nights spent by non-residents","Number","Hotels and similar accommodation","71,725,224"
"2008","France","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","35,268,587"
"2008","France","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation",":"
"2008","France","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","35,268,587"
"2008","France","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","301,042,789"
"2008","France","Nights spent, total","Number","Hotels and similar accommodation","202,280,491"
"2008","France","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","98,762,298"
"2008","France","Nights spent, total","Number","Holiday and other short-stay accommodation",":"
"2008","France","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","98,762,298"
"2008","Croatia","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4,629,337"
"2008","Croatia","Total nights spent by residents","Number","Hotels and similar accommodation","2,946,199"
"2008","Croatia","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,683,138"
"2008","Croatia","Total nights spent by residents","Number","Holiday and other short-stay accommodation","1,304,092"
"2008","Croatia","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","379,046"
"2008","Croatia","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","33,902,735"
"2008","Croatia","Total nights spent by non-residents","Number","Hotels and similar accommodation","17,604,550"
"2008","Croatia","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","16,298,185"
"2008","Croatia","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","3,327,800"
"2008","Croatia","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","12,970,385"
"2008","Croatia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","38,532,072"
"2008","Croatia","Nights spent, total","Number","Hotels and similar accommodation","20,550,749"
"2008","Croatia","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","17,981,323"
"2008","Croatia","Nights spent, total","Number","Holiday and other short-stay accommodation","4,631,892"
"2008","Croatia","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","13,349,431"
"2008","Italy","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","211,869,278"
"2008","Italy","Total nights spent by residents","Number","Hotels and similar accommodation","141,186,598"
"2008","Italy","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","70,682,680"
"2008","Italy","Total nights spent by residents","Number","Holiday and other short-stay accommodation","33,137,841"
"2008","Italy","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","37,544,839"
"2008","Italy","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","161,797,434"
"2008","Italy","Total nights spent by non-residents","Number","Hotels and similar accommodation","110,491,709"
"2008","Italy","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","51,305,725"
"2008","Italy","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","23,627,428"
"2008","Italy","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","27,678,297"
"2008","Italy","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","373,666,712"
"2008","Italy","Nights spent, total","Number","Hotels and similar accommodation","251,678,307"
"2008","Italy","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","121,988,405"
"2008","Italy","Nights spent, total","Number","Holiday and other short-stay accommodation","56,765,269"
"2008","Italy","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","65,223,136"
"2008","Cyprus","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,171,421"
"2008","Cyprus","Total nights spent by residents","Number","Hotels and similar accommodation","1,158,612"
"2008","Cyprus","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","12,809"
"2008","Cyprus","Total nights spent by residents","Number","Holiday and other short-stay accommodation","766"
"2008","Cyprus","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","12,043"
"2008","Cyprus","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","13,208,954"
"2008","Cyprus","Total nights spent by non-residents","Number","Hotels and similar accommodation","13,151,048"
"2008","Cyprus","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","57,906"
"2008","Cyprus","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","51,781"
"2008","Cyprus","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","6,125"
"2008","Cyprus","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","14,380,375"
"2008","Cyprus","Nights spent, total","Number","Hotels and similar accommodation","14,309,660"
"2008","Cyprus","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","70,715"
"2008","Cyprus","Nights spent, total","Number","Holiday and other short-stay accommodation","52,547"
"2008","Cyprus","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","18,168"
"2008","Latvia","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,385,445"
"2008","Latvia","Total nights spent by residents","Number","Hotels and similar accommodation","941,103"
"2008","Latvia","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","444,342"
"2008","Latvia","Total nights spent by residents","Number","Holiday and other short-stay accommodation","294,255"
"2008","Latvia","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","150,087"
"2008","Latvia","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,115,618"
"2008","Latvia","Total nights spent by non-residents","Number","Hotels and similar accommodation","1,913,494"
"2008","Latvia","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","202,124"
"2008","Latvia","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","106,395"
"2008","Latvia","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","95,729"
"2008","Latvia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","3,501,063"
"2008","Latvia","Nights spent, total","Number","Hotels and similar accommodation","2,854,597"
"2008","Latvia","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","646,466"
"2008","Latvia","Nights spent, total","Number","Holiday and other short-stay accommodation","400,650"
"2008","Latvia","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","245,816"
"2008","Lithuania","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,622,510"
"2008","Lithuania","Total nights spent by residents","Number","Hotels and similar accommodation","1,057,319"
"2008","Lithuania","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","565,191"
"2008","Lithuania","Total nights spent by residents","Number","Holiday and other short-stay accommodation","515,022"
"2008","Lithuania","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","50,169"
"2008","Lithuania","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,626,829"
"2008","Lithuania","Total nights spent by non-residents","Number","Hotels and similar accommodation","1,544,487"
"2008","Lithuania","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","82,342"
"2008","Lithuania","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","62,387"
"2008","Lithuania","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","19,955"
"2008","Lithuania","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","3,249,339"
"2008","Lithuania","Nights spent, total","Number","Hotels and similar accommodation","2,601,806"
"2008","Lithuania","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","647,533"
"2008","Lithuania","Nights spent, total","Number","Holiday and other short-stay accommodation","577,409"
"2008","Lithuania","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","70,124"
"2008","Luxembourg","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","182,459"
"2008","Luxembourg","Total nights spent by residents","Number","Hotels and similar accommodation","78,200"
"2008","Luxembourg","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","104,259"
"2008","Luxembourg","Total nights spent by residents","Number","Holiday and other short-stay accommodation","70,732"
"2008","Luxembourg","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","33,527"
"2008","Luxembourg","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,249,545"
"2008","Luxembourg","Total nights spent by non-residents","Number","Hotels and similar accommodation","1,296,575"
"2008","Luxembourg","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","952,970"
"2008","Luxembourg","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","179,410"
"2008","Luxembourg","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","773,560"
"2008","Luxembourg","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,432,004"
"2008","Luxembourg","Nights spent, total","Number","Hotels and similar accommodation","1,374,775"
"2008","Luxembourg","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,057,229"
"2008","Luxembourg","Nights spent, total","Number","Holiday and other short-stay accommodation","250,142"
"2008","Luxembourg","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","807,087"
"2008","Hungary","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","9,964,883"
"2008","Hungary","Total nights spent by residents","Number","Hotels and similar accommodation","7,794,282"
"2008","Hungary","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,170,601"
"2008","Hungary","Total nights spent by residents","Number","Holiday and other short-stay accommodation","1,711,771"
"2008","Hungary","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","458,830"
"2008","Hungary","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","10,009,531"
"2008","Hungary","Total nights spent by non-residents","Number","Hotels and similar accommodation","8,488,504"
"2008","Hungary","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,521,027"
"2008","Hungary","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","398,192"
"2008","Hungary","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","1,122,835"
"2008","Hungary","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","19,974,414"
"2008","Hungary","Nights spent, total","Number","Hotels and similar accommodation","16,282,786"
"2008","Hungary","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","3,691,628"
"2008","Hungary","Nights spent, total","Number","Holiday and other short-stay accommodation","2,109,963"
