"TIME","GEO","NACE_R2","AGE","WSTATUS","UNIT","Value"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","No response","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","Employed persons","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","Employees","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","No response","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","Employed persons","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","Employees","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","No response","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","Employed persons","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","Employees","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","No response","Thousand",":"
"2008","Czech Republic","Total - all NACE activities","From 15 to 24 years","Employed persons","Thousand","377.0"
"2008","Czech Republic","Total - all NACE activities","From 15 to 24 years","Employees","Thousand","352.2"
"2008","Czech Republic","Total - all NACE activities","From 15 to 24 years","Self-employed persons","Thousand","22.2"
"2008","Czech Republic","Total - all NACE activities","From 15 to 24 years","Contributing family workers","Thousand","2.6"
"2008","Czech Republic","Total - all NACE activities","From 15 to 24 years","No response","Thousand",":"
"2008","Czech Republic","Total - all NACE activities","From 25 to 34 years","Employed persons","Thousand","1,335.1"
"2008","Czech Republic","Total - all NACE activities","From 25 to 34 years","Employees","Thousand","1,152.5"
"2008","Czech Republic","Total - all NACE activities","From 25 to 34 years","Self-employed persons","Thousand","175.5"
"2008","Czech Republic","Total - all NACE activities","From 25 to 34 years","Contributing family workers","Thousand","7.1"
"2008","Czech Republic","Total - all NACE activities","From 25 to 34 years","No response","Thousand",":"
"2008","Czech Republic","Total - all NACE activities","From 35 to 44 years","Employed persons","Thousand","1,304.7"
"2008","Czech Republic","Total - all NACE activities","From 35 to 44 years","Employees","Thousand","1,074.6"
"2008","Czech Republic","Total - all NACE activities","From 35 to 44 years","Self-employed persons","Thousand","222.7"
"2008","Czech Republic","Total - all NACE activities","From 35 to 44 years","Contributing family workers","Thousand","7.4"
"2008","Czech Republic","Total - all NACE activities","From 35 to 44 years","No response","Thousand",":"
"2008","Czech Republic","Total - all NACE activities","From 45 to 54 years","Employed persons","Thousand","1,220.1"
"2008","Czech Republic","Total - all NACE activities","From 45 to 54 years","Employees","Thousand","996.8"
"2008","Czech Republic","Total - all NACE activities","From 45 to 54 years","Self-employed persons","Thousand","216.4"
"2008","Czech Republic","Total - all NACE activities","From 45 to 54 years","Contributing family workers","Thousand","6.8"
"2008","Czech Republic","Total - all NACE activities","From 45 to 54 years","No response","Thousand",":"
"2008","Czech Republic","Air transport","From 15 to 24 years","Employed persons","Thousand",":"
"2008","Czech Republic","Air transport","From 15 to 24 years","Employees","Thousand",":"
"2008","Czech Republic","Air transport","From 15 to 24 years","Self-employed persons","Thousand",":"
"2008","Czech Republic","Air transport","From 15 to 24 years","Contributing family workers","Thousand",":"
"2008","Czech Republic","Air transport","From 15 to 24 years","No response","Thousand",":"
"2008","Czech Republic","Air transport","From 25 to 34 years","Employed persons","Thousand","3.1"
"2008","Czech Republic","Air transport","From 25 to 34 years","Employees","Thousand","3.1"
"2008","Czech Republic","Air transport","From 25 to 34 years","Self-employed persons","Thousand",":"
"2008","Czech Republic","Air transport","From 25 to 34 years","Contributing family workers","Thousand",":"
"2008","Czech Republic","Air transport","From 25 to 34 years","No response","Thousand",":"
"2008","Czech Republic","Air transport","From 35 to 44 years","Employed persons","Thousand","2.9"
"2008","Czech Republic","Air transport","From 35 to 44 years","Employees","Thousand","2.7"
"2008","Czech Republic","Air transport","From 35 to 44 years","Self-employed persons","Thousand",":"
"2008","Czech Republic","Air transport","From 35 to 44 years","Contributing family workers","Thousand",":"
"2008","Czech Republic","Air transport","From 35 to 44 years","No response","Thousand",":"
"2008","Czech Republic","Air transport","From 45 to 54 years","Employed persons","Thousand","1.6"
"2008","Czech Republic","Air transport","From 45 to 54 years","Employees","Thousand","1.6"
"2008","Czech Republic","Air transport","From 45 to 54 years","Self-employed persons","Thousand",":"
"2008","Czech Republic","Air transport","From 45 to 54 years","Contributing family workers","Thousand",":"
"2008","Czech Republic","Air transport","From 45 to 54 years","No response","Thousand",":"
"2008","Czech Republic","Accommodation and food service activities","From 15 to 24 years","Employed persons","Thousand","29.2"
"2008","Czech Republic","Accommodation and food service activities","From 15 to 24 years","Employees","Thousand","28.7"
"2008","Czech Republic","Accommodation and food service activities","From 15 to 24 years","Self-employed persons","Thousand",":"
"2008","Czech Republic","Accommodation and food service activities","From 15 to 24 years","Contributing family workers","Thousand",":"
"2008","Czech Republic","Accommodation and food service activities","From 15 to 24 years","No response","Thousand",":"
"2008","Czech Republic","Accommodation and food service activities","From 25 to 34 years","Employed persons","Thousand","58.9"
"2008","Czech Republic","Accommodation and food service activities","From 25 to 34 years","Employees","Thousand","51.4"
"2008","Czech Republic","Accommodation and food service activities","From 25 to 34 years","Self-employed persons","Thousand","6.1"
"2008","Czech Republic","Accommodation and food service activities","From 25 to 34 years","Contributing family workers","Thousand","1.4"
"2008","Czech Republic","Accommodation and food service activities","From 25 to 34 years","No response","Thousand",":"
"2008","Czech Republic","Accommodation and food service activities","From 35 to 44 years","Employed persons","Thousand","37.9"
"2008","Czech Republic","Accommodation and food service activities","From 35 to 44 years","Employees","Thousand","26.2"
"2008","Czech Republic","Accommodation and food service activities","From 35 to 44 years","Self-employed persons","Thousand","11.1"
"2008","Czech Republic","Accommodation and food service activities","From 35 to 44 years","Contributing family workers","Thousand","0.5"
"2008","Czech Republic","Accommodation and food service activities","From 35 to 44 years","No response","Thousand",":"
"2008","Czech Republic","Accommodation and food service activities","From 45 to 54 years","Employed persons","Thousand","33.0"
"2008","Czech Republic","Accommodation and food service activities","From 45 to 54 years","Employees","Thousand","23.6"
"2008","Czech Republic","Accommodation and food service activities","From 45 to 54 years","Self-employed persons","Thousand","8.9"
"2008","Czech Republic","Accommodation and food service activities","From 45 to 54 years","Contributing family workers","Thousand",":"
"2008","Czech Republic","Accommodation and food service activities","From 45 to 54 years","No response","Thousand",":"
"2008","Czech Republic","Accommodation","From 15 to 24 years","Employed persons","Thousand","6.9"
"2008","Czech Republic","Accommodation","From 15 to 24 years","Employees","Thousand","6.8"
"2008","Czech Republic","Accommodation","From 15 to 24 years","Self-employed persons","Thousand",":"
"2008","Czech Republic","Accommodation","From 15 to 24 years","Contributing family workers","Thousand",":"
"2008","Czech Republic","Accommodation","From 15 to 24 years","No response","Thousand",":"
"2008","Czech Republic","Accommodation","From 25 to 34 years","Employed persons","Thousand","14.2"
"2008","Czech Republic","Accommodation","From 25 to 34 years","Employees","Thousand","12.5"
"2008","Czech Republic","Accommodation","From 25 to 34 years","Self-employed persons","Thousand","1.0"
"2008","Czech Republic","Accommodation","From 25 to 34 years","Contributing family workers","Thousand","0.7"
"2008","Czech Republic","Accommodation","From 25 to 34 years","No response","Thousand",":"
"2008","Czech Republic","Accommodation","From 35 to 44 years","Employed persons","Thousand","10.1"
"2008","Czech Republic","Accommodation","From 35 to 44 years","Employees","Thousand","8.2"
"2008","Czech Republic","Accommodation","From 35 to 44 years","Self-employed persons","Thousand","1.9"
"2008","Czech Republic","Accommodation","From 35 to 44 years","Contributing family workers","Thousand",":"
"2008","Czech Republic","Accommodation","From 35 to 44 years","No response","Thousand",":"
"2008","Czech Republic","Accommodation","From 45 to 54 years","Employed persons","Thousand","8.9"
"2008","Czech Republic","Accommodation","From 45 to 54 years","Employees","Thousand","7.2"
"2008","Czech Republic","Accommodation","From 45 to 54 years","Self-employed persons","Thousand","1.6"
"2008","Czech Republic","Accommodation","From 45 to 54 years","Contributing family workers","Thousand",":"
"2008","Czech Republic","Accommodation","From 45 to 54 years","No response","Thousand",":"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","Employed persons","Thousand","1.9"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","Employees","Thousand","1.9"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","Self-employed persons","Thousand",":"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","Contributing family workers","Thousand",":"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","No response","Thousand",":"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","Employed persons","Thousand","5.2"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","Employees","Thousand","3.7"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","Self-employed persons","Thousand","1.5"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","Contributing family workers","Thousand",":"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","No response","Thousand",":"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","Employed persons","Thousand","4.4"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","Employees","Thousand","1.8"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","Self-employed persons","Thousand","2.6"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","Contributing family workers","Thousand",":"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","No response","Thousand",":"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","Employed persons","Thousand","3.1"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","Employees","Thousand","1.2"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","Self-employed persons","Thousand","1.9"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","Contributing family workers","Thousand",":"
"2008","Czech Republic","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","No response","Thousand",":"
"2008","Denmark","Total - all NACE activities","From 15 to 24 years","Employed persons","Thousand","421.1"
"2008","Denmark","Total - all NACE activities","From 15 to 24 years","Employees","Thousand","414.5"
"2008","Denmark","Total - all NACE activities","From 15 to 24 years","Self-employed persons","Thousand","4.5"
"2008","Denmark","Total - all NACE activities","From 15 to 24 years","Contributing family workers","Thousand","2.1"
"2008","Denmark","Total - all NACE activities","From 15 to 24 years","No response","Thousand",":"
"2008","Denmark","Total - all NACE activities","From 25 to 34 years","Employed persons","Thousand","580.8"
"2008","Denmark","Total - all NACE activities","From 25 to 34 years","Employees","Thousand","544.8"
